surfaces.max,bedrooms.max,prices.max
123.28,5,1211361
176.79,3,3355341
131.98,2,1825407
203.0,4,2361790
156.0,3,2365049
187.87,3,1362600
176.79,3,3355341
88.94,2,938866
71.07,2,215000
229.16,4,1396884
203.0,4,2361790
71.07,2,215000
100.69,0,405656
199.0,3,1259000
100.69,0,405656
94.54,3,390000
203.0,4,2361790
199.0,3,1259000
176.79,3,3355341
229.16,4,1396884
156.0,3,2365049
203.0,4,2361790
176.79,3,3355341
203.0,4,2361790
163.11,3,1299000
131.98,2,1825407
94.54,3,390000
94.54,3,390000
249.42,5,1534900
100.69,0,405656
199.0,3,1259000
249.42,5,1534900
163.76,3,1545746
249.42,5,1534900
229.16,4,1396884
71.07,2,215000
120.0,4,480000
163.11,3,1299000
203.0,4,2361790
176.79,3,3355341
94.54,3,390000
131.98,2,1825407
203.0,4,2361790
176.79,3,3355341
203.0,4,2361790
71.07,2,215000
94.54,3,390000
163.76,3,1545746
163.11,3,1299000
187.87,3,1362600
163.76,3,1545746
187.87,3,1362600
131.98,2,1825407
131.98,2,1825407
163.76,3,1545746
156.0,3,2365049
203.0,4,2361790
156.0,3,2365049
131.98,2,1825407
203.0,4,2361790
131.98,2,1825407
131.98,2,1825407
100.69,0,405656
176.79,3,3355341
120.0,4,480000
203.0,4,2361790
187.87,3,1362600
131.98,2,1825407
94.54,3,390000
203.0,4,2361790
94.54,3,390000
163.76,3,1545746
229.16,4,1396884
156.0,3,2365049
131.98,2,1825407
249.42,5,1534900
176.79,3,3355341
163.11,3,1299000
120.0,4,480000
100.69,0,405656
88.94,2,938866
156.0,3,2365049
100.69,0,405656
187.87,3,1362600
203.0,4,2361790
94.54,3,390000
176.79,3,3355341
163.11,3,1299000
229.16,4,1396884
71.07,2,215000
163.76,3,1545746
156.0,3,2365049
163.11,3,1299000
131.98,2,1825407
163.76,3,1545746
106.08,2,922450
156.0,3,2365049
176.79,3,3355341
203.0,4,2361790
176.79,3,3355341
131.98,2,1825407
106.08,2,922450
249.42,5,1534900
203.0,4,2361790
249.42,5,1534900
203.0,4,2361790
187.87,3,1362600
71.07,2,215000
94.54,3,390000
187.87,3,1362600
131.98,2,1825407
176.79,3,3355341
163.76,3,1545746
249.42,5,1534900
249.42,5,1534900
203.0,4,2361790
187.87,3,1362600
71.07,2,215000
200.0,4,997000
100.69,0,405656
249.42,5,1534900
94.54,3,390000
187.87,3,1362600
176.79,3,3355341
156.0,3,2365049
163.11,3,1299000
100.69,0,405656
203.0,4,2361790
176.79,3,3355341
106.08,2,922450
199.0,3,1259000
106.08,2,922450
82.0,3,299000
94.54,3,390000
203.0,4,2361790
187.87,3,1362600
135.12,3,1159576
163.11,3,1299000
156.0,3,2365049
135.12,3,1159576
100.69,0,405656
203.0,4,2361790
203.0,4,2361790
88.94,2,938866
106.08,2,922450
203.0,4,2361790
163.11,3,1299000
163.11,3,1299000
203.0,4,2361790
71.07,2,215000
131.98,2,1825407
163.76,3,1545746
94.54,3,390000
203.0,4,2361790
71.07,2,215000
176.79,3,3355341
123.28,5,1211361
106.08,2,922450
203.0,4,2361790
203.0,4,2361790
100.69,0,405656
82.0,3,299000
135.12,3,1159576
156.0,3,2365049
135.12,3,1159576
249.42,5,1534900
163.76,3,1545746
120.0,4,480000
88.94,2,938866
135.12,3,1159576
94.54,3,390000
203.0,4,2361790
135.12,3,1159576
200.0,4,997000
203.0,4,2361790
163.76,3,1545746
203.0,4,2361790
120.0,4,480000
94.54,3,390000
229.16,4,1396884
249.42,5,1534900
249.42,5,1534900
131.98,2,1825407
187.87,3,1362600
94.54,3,390000
88.94,2,938866
199.0,3,1259000
163.11,3,1299000
203.0,4,2361790
176.79,3,3355341
131.98,2,1825407
176.79,3,3355341
100.69,0,405656
100.69,0,405656
131.98,2,1825407
203.0,4,2361790
120.0,4,480000
203.0,4,2361790
123.28,5,1211361
123.28,5,1211361
131.98,2,1825407
229.16,4,1396884
163.76,3,1545746
249.42,5,1534900
203.0,4,2361790
100.69,0,405656
100.69,0,405656
